1,5,Asset Issuance Form,ICT-01 Issuance Form.pdf,heroicon-c-computer-desktop,,
2,5,External Storage Device Access Form,External Storage Device Access Form.pdf,heroicon-c-server,,
3,5,Application Access Request,Apps Access Request Form.pdf,heroicon-c-key,,
4,5,ICT Asset Request Form,Provision of Company-Issued.pdf,heroicon-c-clipboard-document-check,,
5,9,CREED (Code on Right Employee Ethics and Discipline),CREED.pdf,heroicon-c-user-group,,
6,9,Guidelines on Disciplinary Process,Guidelines on Disciplinary Process for BU_signed.pdf,heroicon-c-shield-check,,
7,9,"Uniform Rules on the Imposition of Preventive
Suspension",Memo Re Rules on Preventive Suspension-signed_240201_151401-signed sgd - Copy.pdf,heroicon-c-hand-raised,,
8,9,LR Investigation process,LR Investigation process.png,heroicon-c-magnifying-glass-circle,,
9,9,Administrative Cases to Labor Relations and Human Resources,2022 Reporting of Admin Cases by Business Unit Heads.pdf,heroicon-c-clipboard-document-list,,
10,9,Security Hotline,Security Hotline.png,heroicon-c-device-phone-mobile,,
11,6,Vehicle Reservation Form,"F-ADM-01, Vehicle Reservation Form, rev0.xlsx",heroicon-c-calendar-date-range,,
12,6,Job Order,"F-ADM-02, Job Order Request, rev0.docx",heroicon-c-clipboard-document-list,,
13,6,Air Ticket Booking Request,"F-ADM-03 Air Ticket Booking Request Travel Form, rev0.xlsx",heroicon-c-ticket,,
14,6,Document Action Request,"F-DRC-02, Document Action Request, rev4.docx",heroicon-c-document-check,,
15,6,Performance Management System (PMS),"F-HRM-21 Performance Management System (PMS), rev3.xlsx",heroicon-c-presentation-chart-bar,,
16,6,Control Document,"MP-DRC-01 Control of Documents, rev14.pdf",heroicon-c-book-open,,
17,6,Policy Manual Template,Policy Manual Template.docx,heroicon-c-document,,
18,6,Policy Statement Template,Policy Statement Template.docx,heroicon-c-document,,
19,6,Procedures Manual Template,Procedures Manual Template.docx,heroicon-c-document,,
